index,mem_percent,mem_free,mem_available,mem_used
1363,15.7,45024538624,46242390016,7657762816
1364,16.0,44882522112,46100729856,7335628800
1365,16.0,44904570880,46122778624,7421407232
1366,16.0,44892082176,46110289920,7542054912
1367,15.8,45009530880,46227570688,7532765184
1368,15.9,44912578560,46130618368,7643652096
1369,15.8,45017735168,46235611136,7562993664
1370,15.8,44982665216,46200541184,7559909376
1371,15.7,45029433344,46247309312,7621300224
1372,16.1,44854792192,46072647680,7471984640
1373,16.0,44885696512,46103552000,7549239296
1374,16.0,44871876608,46089846784,7584641024
1375,16.0,44856164352,46074134528,7592062976
1376,15.9,44926414848,46144385024,7588499456
1377,15.7,45035175936,46253146112,7434285056
1378,15.8,44965498880,46183469056,7577284608
1379,15.5,45170487296,46388457472,7480025088
1380,16.2,44798291968,46016364544,7527669760
1381,16.2,44774322176,45992394752,7659134976
1382,16.2,44791664640,46009737216,7543410688
1383,15.8,44968390656,46186561536,7465414656
1384,16.0,44887179264,46105231360,7454105600
1385,16.0,44908138496,46126190592,7526043648
1386,15.8,44978835456,46196887552,7563173888
1387,15.6,45078827008,46296715264,7571673088
1388,16.2,44775141376,45993201664,7550537728
1389,16.3,44697575424,45915648000,7736274944
1390,16.1,44801634304,46019706880,7632547840
1391,16.2,44791529472,46009569280,7534960640
1392,16.1,44835835904,46053875712,7490502656
1393,16.2,44791263232,46009303040,7642902528
1394,15.9,44918341632,46136406016,7515852800
1395,15.7,45020852224,46238916608,7521169408
1396,16.7,44515995648,45734055936,7701856256
1397,16.6,44531638272,45749317632,7578386432
1398,16.5,44596744192,45815078912,7620710400
1399,16.3,44714905600,45933240320,7502368768
1400,16.3,44723736576,45942022144,7493988352
1401,16.0,44857352192,46075588608,7468302336
1402,16.2,44770549760,45988786176,7662931968
1403,16.2,44795109376,46013161472,7639179264
1404,16.4,44665745408,45883912192,7660048384
1405,16.3,44720799744,45938966528,7692251136
1406,16.3,44726493184,45944659968,7640772608
1407,16.1,44833234944,46051401728,7600717824
1408,15.9,44942114816,46160281600,7473590272
1409,15.9,44953960448,46172004352,7431344128
1410,15.7,45021560832,46239604736,7412391936
